Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;jan/18;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;Competência;Data de atualização
UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO (314099);Médico Hospitalar;Médio;132;175;1,06;0,53;0,52;0,26;0,26;1,06;1,59;1,61;0,8;1,07;1,34;1,88;201801;26/02/2018 11:03
UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA (356417);Médico Hospitalar;Médio;207;199;0,31;0,31;0,15;0,46;1,07;1,37;1,36;1,21;1,2;1,35;1,04;0,89;201801;26/02/2018 11:03
UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA (311057);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO (344729);Médico Hospitalar;Médio;176;218;0,52;0;0,26;0,52;0,52;0,52;0,26;0,25;0,25;0,25;0,25;0,25;201801;26/02/2018 11:03
UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA (317896);Médico Hospitalar;Pequeno;77;73;3,67;4,42;5,16;4,42;3,67;1,47;2,2;1,46;2,18;1,45;1,44;0,72;201801;26/02/2018 11:03
UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO (314587);Médico Hospitalar;Pequeno;127;94;1,36;2,73;5,45;6,82;5,44;1,36;1,35;1,35;1,35;0;0;0;201801;26/02/2018 11:03
UNIMED VILHENA COOPERATIVA DE TRABALHO MEDICO (342131);Médico Hospitalar;Pequeno;124;89;1,51;3,01;3,01;3,01;1,51;1,53;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO (357391);Médico Hospitalar;Grande;39;39;2,37;2,67;2,85;3,74;4,69;5,95;6,87;7,57;7,74;5,9;4,97;4,11;201801;26/02/2018 11:03
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO (393321);Médico Hospitalar;Grande;2;3;7,15;8,82;9,74;10,94;11,66;12,04;11,46;11,06;11,33;10,7;10,75;10,96;201801;26/02/2018 11:03
UNIMED/RS FEDERAÇÃO DAS COOPERATIVAS MÉDICAS DO RS LTDA (367087);Médico Hospitalar;Médio;152;195;0,8;0,32;0,97;1,62;1,65;1;0,68;1,04;0,89;0,73;0,18;0,19;201801;26/02/2018 11:03
UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA (343731);Médico Hospitalar;Grande;19;21;3,77;3,86;4,58;5,17;6,44;6,25;5,89;5,68;5,74;5,05;4,04;2,98;201801;26/02/2018 11:03
UNIX - SAÚDE LTDA (418137);Médico Hospitalar;Pequeno;29;27;14,36;15,82;18,74;13,78;17,54;17,68;16,25;12,56;12,58;13,42;13,54;16,64;201801;26/02/2018 11:03
VALE S/A (345695);Médico Hospitalar;Grande;70;70;0,71;0,76;0,8;0,64;0,47;0,39;0,39;0,57;0,61;0,53;0,53;0,36;201801;26/02/2018 11:03
VALEC - ENGENHARIA, CONSTRUÇÕES E FERROVIAS S/A (419206);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
VERA CRUZ ASSOCIAÇÃO DE SAÚDE (360481);Médico Hospitalar;Médio;140;131;0,94;1,25;1,55;1,54;1,84;1,22;0,91;0,61;0,61;1,21;1,82;1,82;201801;26/02/2018 11:03
VEROLIFE SAÚDE S/A (358711);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;4,7;26,7;69,58;58,06;38,11;3,27;201801;26/02/2018 11:03
VIDA CARD S.A MUDEI (418935);Médico Hospitalar;Pequeno;10;5;49,61;88,3;104,65;202,7;;;;;;;;;201801;26/02/2018 11:03
VIDA EMPRESARIAL OPERADORA DE PLANOS DE SAUDE LTDA (406210);Médico Hospitalar;Pequeno;3;3;140,85;140,85;140,85;0;0;0;0;0;0;70,42;70,42;70,42;201801;26/02/2018 11:03
VIDAPLAN SAÚDE LTDA. - EPP (344443);Médico Hospitalar;Pequeno;17;18;28,34;27,52;26,61;12,94;12,65;12,22;0;11,42;11,1;10,68;0;0;201801;26/02/2018 11:03
VISION MED ASSISTÊNCIA MÉDICA LTDA (403911);Médico Hospitalar;Grande;4;7;6,13;6,24;6,3;6,67;6,77;6,65;6,33;5,88;6,46;5,64;5,53;4,57;201801;26/02/2018 11:03
VITA ASSISTÊNCIA A SAÚDE LTDA. (414905);Médico Hospitalar;Pequeno;57;62;5,12;5,25;2,7;0;0;0;0;3,7;3,77;3,81;0;0;201801;26/02/2018 11:03
VOLVO DO BRASIL VEÍCULOS LTDA. (414247);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;1,25;1,26;1,27;0;201801;26/02/2018 11:03
WMS SUPERMERCADOS DO BRASIL LTDA (345628);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
W.S. - ADMINISTRADORA DE PLANOS DE SAÚDE LTDA (339750);Médico Hospitalar;Pequeno;20;29;21,27;13,9;13,59;39,81;51,89;63,59;49,83;31,93;25,11;12,21;17,09;27,52;201801;26/02/2018 11:03
AESP ODONTO ASSISTENCIA EM SAO PAULO DE ODONTOLOGIA S/C LTDA (413283);Odontológica;Médio;1;12;0,9;0;0;0;0;0,47;0,47;0,48;0;0,49;0,5;0,5;201801;26/02/2018 11:03
ÁPICE ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA (400882);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
APO - ASSISTÊNCIA PERSONALIZADA ODONTOLÓGICA LTDA. (411124);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ARM ODONTOLOGIA LTDA. (352152);Odontológica;Médio;4;10;0,5;0;0;0;0;0;0;0;0;1,18;1,17;1,18;201801;26/02/2018 11:03
ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA (365297);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO BRASILEIRA DE ASSISTÊNCIA ODONTOLOGICA DE GRUPO - DENTAL MED CENTER (413941);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS-ODONTOVIDA (417220);Odontológica;Médio;8;12;0,4;0;0;0;0;0;0;0;0;0;0,33;0,33;201801;26/02/2018 11:03
ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS (336874);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
BACCIN BONONI ODONTOLOGIA LTDA (417700);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
BAHIAODONTO PLANO ODONTOLOGICO DA BAHIA LTDA (356301);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
BELO DENTE ODONTOLOGIA LTDA. (351563);Odontológica;Grande;18;17;0,03;0,04;0,11;0,07;0,18;0,18;0,22;0,14;0,07;0,04;0;0;201801;26/02/2018 11:03
BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA. (417874);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
BIORAL SISTEMA ODONTOLÓGICO LTDA. (419079);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A. (419419);Odontológica;Grande;15;14;0,06;0,06;0,08;0,11;0,09;0,05;0,09;0,19;0,21;0,26;0,22;0,19;201801;26/02/2018 11:03
CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP (415952);Odontológica;Pequeno;9;10;0;0;0;0;0;2,03;2,06;2,07;0;0;0;0;201801;26/02/2018 11:03
CENTRO DE DIAGNOSTICO E TRATAMENTO ODONTOLOGICO LTDA (411426);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CENTRO DE ESTUDOS E DIAGNÓSTICO ODONTOLÓGICO LTDA - CEDOM (349291);Odontológica;Pequeno;9;5;0;3,07;3,08;3,12;0;1,63;1,67;1,71;0;0;0;0;201801;26/02/2018 11:03
CENTRO ODONTOLOGICO INTEGRADO EIRELI (314757);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CEORP - CENTRO ODONTOLOGICO LTDA (401871);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CLINICA ODONTOLOGICA ODONTOPLAN LTDA (410071);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CLÍNICA ODONTOLÓGICA SASSO LTDA (416797);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COJUN CENTRO ODONTOLOGICO JUNDIAI LTDA. (415812);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA (405931);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL (353477);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA DE SERVIÇOS ODONTOLÓGICOS DE FARROUPILHA LTDA (362735);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ (419028);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE (359459);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU (400572);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA NOVODENTE LTDA (417840);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL. (342335);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ (365785);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS (409791);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO (402010);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA. (353892);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO (407241);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;3,97;3,97;3,98;0;0;201801;26/02/2018 11:03
CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA (368181);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CROWN ODONTOLOGIA DE GRUPO  LTDA (397245);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CUNHA ODONTOLOGIA LTDA (416959);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA (420239);Odontológica;Pequeno;9;10;0;0;0;0;0;0;;;;;;;201801;26/02/2018 11:03
DENTAL CARE CLINICA ODONTOLOGICA LTDA (386219);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DENTAL CENTER LTDA (339458);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA. (300730);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0,3;0,3;201801;26/02/2018 11:03
DENTAL MASTER LTDA - EPP (413747);Odontológica;Pequeno;8;9;0,54;1,07;1,59;1,06;0,52;0;0,52;0,54;0,58;0;0,62;1,24;201801;26/02/2018 11:03
DENTAL NORTE ASSISTENCIA ODONTOLOGICA LTDA. (417181);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DENTAL PLAN - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA. ME (415804);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA. (314366);Odontológica;Pequeno;7;10;0,64;0;0;0;0;0;0,7;1,4;2,09;1,39;2,09;1,4;201801;26/02/2018 11:03
DENTAL UNI - COOPERATIVA ODONTOLÓGICA (304484);Odontológica;Grande;2;5;0,45;0,35;0,25;0,32;0,39;0,38;0,45;0,51;0,61;0,57;0,33;0,24;201801;26/02/2018 11:03
DENTALMASTER COMÉRCIO DE PLANOS ODONTOLÓGICOS LTDA (401463);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA (333620);Odontológica;Pequeno;9;10;0;0;0;0;0;0,94;0,95;0,95;0;0;0;0;201801;26/02/2018 11:03
DENTAL-PAR - ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA. (322890);Odontológica;Médio;11;3;0,23;0,57;0,67;0,68;0,46;0,6;0,38;0,39;0,4;0,8;0,68;0,55;201801;26/02/2018 11:03
DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA (416908);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DENTALSHOW ASSISTÊNCIA ODONTOLÓGICA LTDA. (361038);Odontológica;Pequeno;9;10;0;0;0;0;0,46;0,94;0,96;0,49;0;0,48;0,48;0,48;201801;26/02/2018 11:03
DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS S/S LTDA (327867);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
DENTSY ODONTOLOGIA S/S LTDA. (414425);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
E F SOBRINHO EIRELI - ME (420778);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;;;;201801;26/02/2018 11:03
FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA (415626);Odontológica;Médio;16;12;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FEDERAÇÃO DAS UNIODONTOS DO ESTADO DE MINAS GERAIS (344583);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FERREIRA & MAGACHO CLINICA ODONTOLÓGICA LTDA (419818);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
FREE DENT PLANOS ODONTÓLOGICOS LTDA (405248);Odontológica;Pequeno;9;10;0;0;0;12,37;10,87;10,76;0;0;0;0;0;0;201801;26/02/2018 11:03
GARCIA PEDROSA LTDA. (412350);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
IDENTAL ASSISTÊNCIA ODONTOLÓGICA LTDA - ME (414557);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
IGM OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (419745);Odontológica;Pequeno;9;4;0;5,1;5,1;5,1;0;0;0;0;0;4,81;13,84;17,53;201801;26/02/2018 11:03
INÁCIO E SPANGHERO LTDA (415332);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
INSTITUTO DE ODONTOLOGIA DO MARANHÃO LTDA. (414981);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA ODONTOLÓGICA LTDA (389358);Odontológica;Grande;13;13;0,09;0,09;0;0,06;0,17;0,23;0,26;0,17;0,11;0,03;0,08;0,11;201801;26/02/2018 11:03
INSTITUTO DE SAÚDE ODONTOLÓGICA - ISODONT LTDA (415260);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
INTEGRAL SERVIÇOS ODONTOLÓGICOS LTDA. (359394);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
INTERDENTAL ODONTOLOGIA INTEGRADA LTDA. (312525);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
INVEST ORAL PLANO ODONTOLÓGICO LTDA. (416240);Odontológica;Pequeno;9;10;0;0;0;0;5,67;4,86;4,61;0;4,43;4,35;4,24;0;201801;26/02/2018 11:03
J. & R. OPERADORA DE PLANOS ODONTOLOGICOS S/S LTDA. (304441);Odontológica;Grande;6;3;0,28;0,37;0,38;0,39;0,5;0,61;0,52;0,42;0,32;0,55;0,56;0,46;201801;26/02/2018 11:03
J.E. ODONTOQUALITY S/S LTDA (418536);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
JLM ASSISTÊNCIA ODONTOLÓGICA LTDA (416215);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
JTC ODONTOLOGIA LTDA. (418722);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
LIS DENTAL LTDA (417971);Odontológica;Médio;3;1;0,65;0,98;0,98;0,98;0,34;0,35;0,36;0,36;0;0;0;0;201801;26/02/2018 11:03
LITORAL CONVÊNIOS E CREDENCIAMENTO ODONTOLÓGICO LTDA ME (418358);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
LOTUS OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (415537);Odontológica;Pequeno;2;2;8,25;13,74;13,67;13,51;14,44;14,05;11,19;7,35;4,82;2,36;0;0;201801;26/02/2018 11:03
MACIEL & MACIEL ASSISTÊNCIA ODONTOLÓGICA LTDA (416835);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
MATTOS ODONTOLOGIA LTDA (329967);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
METLIFE PLANOS ODONTOLÓGICOS LTDA. (406481);Odontológica;Grande;14;16;0,07;0,05;0,07;0,11;0,13;0,12;0,08;0,1;0,13;0,13;0,11;0,08;201801;26/02/2018 11:03
METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA (300365);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
MOGIDONTO PLANOS ODONTOLÓGICOS LTDA (354741);Odontológica;Médio;13;6;0,18;0,36;0,18;0,18;0,18;0,19;0,19;0,19;0,38;0,39;0,39;0,2;201801;26/02/2018 11:03
MULTI - BUCAL ODONTOLOGIA LTDA - EPP (351351);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
NEWKLIN ODONTOCLÍNICA LTDA. ME. (415057);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
NUCLEO ASSISTENCIA ODONTOLOGICA LTDA (359866);Odontológica;Pequeno;9;10;0;0;0;0;5,79;5,68;5,58;0;0;0;0;0;201801;26/02/2018 11:03
ODONTO CARD - ASSISTENCIA ODONTOLOGICA LTDA - EPP (419346);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0,83;0,82;0,83;0;0;201801;26/02/2018 11:03
ODONTO CORPUS S/S LTDA. (405973);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA. (310981);Odontológica;Grande;3;4;0,39;0,35;0,56;0,55;0,56;0,44;0,5;0,39;0,36;0,28;0,34;0,36;201801;26/02/2018 11:03
ODONTO JARAGUÁ LTDA (312321);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTO PLUS CONVENIO ODONTOLOGICO SOCIEDADE SIMPLES LTDA (405671);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTO PRIME PLANOS ODONTOLÓGICOS LTDA ME (420212);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTO QUALIT SERVIÇOS ODONTOLÓGICOS LTDA (416347);Odontológica;Pequeno;9;10;0;0;0;0;3,37;3,32;3,25;0;0;0;0;0;201801;26/02/2018 11:03
ODONTO SÃO LUCAS LTDA. (340227);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTO SYSTEM PLANOS ODONTOLOGICOS LTDA (334588);Odontológica;Grande;9;10;0,22;0,19;0,08;0,13;0,22;0,24;0,2;0,11;0,16;0,14;0,19;0,14;201801;26/02/2018 11:03
ODONTOART PLANOS ODONTOLÓGICOS LTDA (414387);Odontológica;Grande;19;19;0;0;0,1;0,1;0,1;0,11;0,11;0,11;0;0,12;0,12;0,38;201801;26/02/2018 11:03
ODONTOBASE PLANOS DE SAUDE LTDA. (344486);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;1,47;1,46;1,44;0;0;201801;26/02/2018 11:03
ODONTOCLINICA RCC LTDA. S/S (418111);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTOFACE OPERADORA DE PLANOS DE SAUDE ODONTOLOGICOS LTDA (417068);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTOGROUP SISTEMA DE SAÚDE LTDA. (389854);Odontológica;Médio;6;2;0,4;0,61;0,84;0,84;1,26;1,48;1,5;1,08;1,92;1,64;1,56;1,48;201801;26/02/2018 11:03
ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (417831);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTOLÓGICA SERVIÇOS DE SAÚDE ORAL LTDA (416614);Odontológica;Pequeno;9;10;0;0;0;0;0,95;1,08;1,18;0;0;0;0;0;201801;26/02/2018 11:03
ODONTOLOGYC SYSTEM CONVÊNIO ODONTOLOGICO LTDA (416461);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTOMAIS SERVIÇOS ODONTOLÓGICOS LTDA - ME (419184);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;2,28;2,38;2,48;201801;26/02/2018 11:03
ODONTOPAM ASSISTENCIA MÉDICA E ODONTOLOGICA INTEGRADA LTDA (313891);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;1,54;1,53;201801;26/02/2018 11:03
ODONTOPARÁ PLANO DE SAÚDE E CLÍNICA ODONTOLÓGICA LTDA (418714);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTOPONTA CLINICA ODONTOLÓGICA LTDA (416673);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTOPREV S/A (301949);Odontológica;Grande;8;7;0,26;0,26;0,27;0,27;0,28;0,29;0,29;0,29;0,26;0,24;0,21;0,19;201801;26/02/2018 11:03
ODONTOREAL LTDA. (412040);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTOVIDA LTDA ME (418200);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ODONTRAT ASSISTENCIA ODONTOLOGICA LTDA. - EIRELI (415961);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
OPERADORA DE PLANOS ODONTOLÓGICOS ODONTOCLÍNICA LTDA (420743);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;;201801;26/02/2018 11:03
ORAL BRASIL PLANOS ODONTOLÓGICOS LTDA (413127);Odontológica;Médio;16;12;0;0;0;0,33;0,32;0,32;0,32;0,32;0,31;0;0;0;201801;26/02/2018 11:03
ORAL COMPANY ASSISTÊNCIA ODONTOLÓGICA LTDA. (414921);Odontológica;Pequeno;1;1;46,73;108,11;160;;;;0;0;0;0;0;0;201801;26/02/2018 11:03
ORAL GAM ASSISTENCIA ODONTOLÓGICA LTDA (418447);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ORAL SAÚDE CLÍNICA ODONTOLÓGICA LTDA. (311693);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ORAL SAÚDE DE IBITINGA SERVIÇOS ODONTOLÓGICOS S/S LTDA (366510);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA (412996);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ORALPLANOS ASSISTÊNCIA ODONTOLÓGICA LTDA ME (419656);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ORION PLANOS E SERVIÇOS ODONTOLÓGICOS LTDA (416371);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;;;201801;26/02/2018 11:03
ORTOVIDE CLÍNICA ORTODÔNTICA LTDA (416665);Odontológica;Pequeno;9;10;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
